,Country Name,Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
102989,Belgium,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),,,,,,,,,,,166.994,157.3905,168.8866,174.7031,175.0252,155.5877,164.9891,163.6822,167.9412,177.2439,166.8298,155.1829,146.8693,137.5677,141.6683,139.1164,138.82,137.9018,138.292,139.1588,140.5496,144.486,142.1851,140.258,147.586,148.4851,153.8284,150.1391,153.8004,149.801,151.199,151.3759,143.518,147.2102,146.0974,143.0646,139.5676,136.8457,138.6669,131.2146,139.624,129.2707,127.4017,128.8169,122.0131,126.7347,125.7471,123.7283,124.178,123.7138,115.8177,119.7527,112.2797,106.3702,
102991,Belgium,Total greenhouse gas emissions including LULUCF (Mt CO2e),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.47035808472853,149.8151699266677,141.36086950841607,145.15547867450996,144.3142226148225,141.2182917488777,137.7413177081376,135.3182723455205,137.2098695034203,129.92745323870193,139.16401062233717,128.87579446549836,127.0224036605534,127.79029861837024,121.00370215175322,125.77659551583704,124.8759377414122,122.97939020500452,123.46524443449744,123.12794182616724,115.37880559588037,119.3250875466278,111.8520875466278,,
104505,Belize,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),,,,,,,,,,,0.2739,0.2947,0.3133,0.3187,0.324,0.3438,0.337,0.3483,0.3488,0.3509,0.356,0.3546,0.3524,0.3738,0.3659,0.3638,0.3874,0.3759,0.3678,0.4156,0.4725,0.4904,0.4861,0.4696,0.4722,0.4556,0.4395,0.5341,0.5523,0.5696,0.5025,0.5244,0.5393,0.5681,0.5443,0.5693,0.6615,0.6909,0.7015,0.7617,0.8034,0.7732,0.7445,0.811,0.7662,0.8187,0.8433,0.8859,0.8463,0.8809,0.8333,0.8681,0.8914,0.9203,
104507,Belize,Total greenhouse gas emissions including LULUCF (Mt CO2e),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13.206016,-8.94103866666667,-8.60146533333333,-11.332363,-12.3588193333333,-12.4223406666667,-10.705943,-10.9356123333333,-11.2593636666667,-9.482112,-11.6014133333333,-3.421380666666669,-7.244558,-5.3436342857142805,-8.96305657142857,-5.68991585714286,-5.97360214285714,-6.23928842857143,-10.4015687142857,-8.002229,-8.049829,-8.015029,-7.991729,,
106021,Benin,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),,,,,,,,,,,2.3826,2.4713,2.6789,2.8203,2.8012,2.9923,2.8654,2.9782,3.0777,3.1923,3.3488,3.5406,3.7663,3.6979,3.7842,3.9979,3.7391,3.7142,3.6815,3.675,3.857,3.9481,4.0534,4.0739,4.4065,4.1891,5.1336,5.4195,5.4388,5.7853,6.0141,6.5502,7.0035,7.3595,7.6782,8.1309,9.3859,10.0976,10.2166,10.7494,11.6253,11.7256,11.694,12.4905,13.0607,13.6032,15.3052,15.6436,17.1478,17.1674,17.6528,16.0186,16.615,16.6995,
106023,Benin,Total greenhouse gas emissions including LULUCF (Mt CO2e),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25959,4.32709,5.31179,6.19919,7.049289999999997,6.99748,8.750879999999999,9.96098,10.57838,11.60958,6.84559,7.982530000000001,7.643700000000001,8.820630000000001,8.961,9.64339,11.345389999999998,11.683789999999998,13.18799,13.20759,13.692989999999998,12.058789999999998,12.655189999999996,,
109053,Bhutan,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),,,,,,,,,,,0.7023,0.713,0.7272,0.7399,0.7535,0.7635,0.7806,0.7968,0.8204,0.8375,0.8549,0.8906,0.9194,0.9503,0.968,1.0123,1.0381,1.1139,1.0351,1.0437,1.2537,1.1633,1.1181,1.1391,1.2019,1.3614,1.3833,1.3881,1.3982,1.4195,1.4264,1.4241,1.4448,1.4673,1.4692,1.6143,1.722,1.7535,1.7662,1.9456,2.0664,2.2992,2.2321,2.3503,2.3922,2.5827,2.74,2.8985,3.1661,3.3306,3.0652,3.187,3.2176,3.2549,
109055,Bhutan,Total greenhouse gas emissions including LULUCF (Mt CO2e),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.561765,-6.149931,-6.622875,-7.132213,-7.291139,-6.791551,-5.990531000000001,-3.764483,-6.442529,-6.599895000000001,-6.146553000000001,-5.837768,-5.936208,-5.8074520000000005,-3.895815,-5.394906,-5.237606,-5.079106,-4.811506,-4.647005999999999,-4.912406,-4.790606,-4.760006,,
110569,Bolivia,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),,,,,,,,,,,27.0111,28.0362,32.6608,34.2155,34.0449,32.8313,34.1876,31.9069,33.0193,30.9563,30.3144,28.1012,29.3812,30.2415,28.6779,28.9058,26.5375,27.6395,28.3787,29.9965,29.6214,31.4071,32.7298,34.9007,36.9459,29.2142,29.0576,33.4365,30.7719,30.0547,29.3881,27.8795,29.0716,30.0199,31.3845,31.9481,32.9925,35.0199,36.1713,37.5713,40.9276,41.7005,43.4488,45.2516,46.2783,47.242,48.991,49.6266,50.2782,51.1827,48.0161,52.1085,53.5025,55.1857,
110571,Bolivia,Total greenhouse gas emissions including LULUCF (Mt CO2e),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0881,68.5795,69.7716,70.7199,72.0845,72.6481,73.6925,78.3849,72.3073,73.7073,77.06360000000001,77.8365,79.5848,81.3876,82.4143,83.378,85.12700000000001,85.7626,86.4142,87.3187,84.1521,88.2445,89.6385,,
