Indicator Code: CG0010
"Indicator Name: Communicable, maternal, perinatal and nutritional conditions"
Export date: 7/24/2025 3:33:02 AM
Source location: "WHO Mortality Database portal"
"Indicator metadata: A00-B99, D50-D53, D64.9, E00-E02, E40-E46, E50-E64, G00-G04, G14, H65-H66, J00-J22, N70-N73, O00-O99, P00-P96, U04, U07.1, U07.2, U09.9, U10.9"

Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2001,All,Age_all,[All],72.00000000,15.58441558,95.76805111,93.24975392,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2001,Male,Age_all,[All],33.00000000,13.36032389,90.11531867,90.93915344,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2001,Female,Age_all,[All],39.00000000,18.13953488,99.79044087,95.29860229,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2002,All,Age_all,[All],56.00000000,12.61261261,74.24167068,71.52436299,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2002,Male,Age_all,[All],34.00000000,14.52991453,94.18635530,92.25592880,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2002,Female,Age_all,[All],22.00000000,10.47619048,55.66482115,53.08367918,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2003,All,Age_all,[All],47.00000000,10.42128603,63.84285182,59.26860025,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2003,Male,Age_all,[All],24.00000000,9.91735537,71.19859000,64.12825651,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2003,Female,Age_all,[All],23.00000000,11.00478469,57.20609472,54.91094877,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2004,All,Age_all,[All],63.00000000,12.32876712,81.28663712,78.42063334,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2004,Male,Age_all,[All],37.00000000,13.85767790,97.84906936,97.34536557,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2004,Female,Age_all,[All],26.00000000,10.65573770,63.39082756,61.41055317,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2005,All,Age_all,[All],52.00000000,10.63394683,67.11684285,63.83109311,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2005,Male,Age_all,[All],33.00000000,12.99212598,89.89768348,85.42583484,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2005,Female,Age_all,[All],19.00000000,8.08510638,46.58760229,44.35935749,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2006,All,Age_all,[All],72.00000000,15.18987342,87.26044646,87.05745792,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2006,Male,Age_all,[All],43.00000000,17.84232365,114.03383944,109.37579488,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2006,Female,Age_all,[All],29.00000000,12.44635193,64.95549695,66.81873690,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2007,All,Age_all,[All],60.00000000,12.39669421,72.79518323,71.40646943,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2007,Male,Age_all,[All],32.00000000,12.07547170,86.94713836,79.96601444,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2007,Female,Age_all,[All],28.00000000,12.78538813,63.57701351,63.61901300,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2008,All,Age_all,[All],77.00000000,14.58333333,87.88718983,90.16710189,
